target1	target2
ABCA9	RGS10
ABCA9	TIGD3
ACCN4	BTNL9
ACCN4	CXCR7
ACCN4	LRTM2
ADAMTS20	HRH1
AGPAT6	ATP8A2
AGPAT6	CYYR1
AGPAT6	DPF3
AGPAT6	GIMAP6
AGPAT6	KIAA1328
AGPAT6	LGR6
AGPAT6	LOC653950
AGPAT6	MGC45840
AGPAT6	TRIM35
AGPAT6	ZNF586
ALAD	GSTT1
ALAD	HHAT
ALAD	MLL2
ALAD	PTGFR
ALAD	SOAT1
APLN	KIAA1328
APLN	MUSTN1
APLN	MYST4
APLN	P8
APOL3	TLX3
AQP7P2	CCR9
AQP7P2	CENTD2
AQP7P2	ECAT11
AQP7P2	GP2
AQP7P2	LAMB3
AQP7P2	MUSTN1
AQP7P2	MYST4
AQP7P2	NEK10
AQP7P2	PADI2
AQP7P2	PGM5
AQP7P2	PPAP2C
AQP7P2	RGS10
AQP7P2	TIGD3
AQP7P2	TNFRSF19L
ARF6	CCR9
ARF6	CYYR1
ARF6	ECAT11
ARF6	EPS8L1
ARF6	GIMAP6
ARF6	GP2
ARF6	GPNMB
ARF6	KIAA1328
ARF6	LOC653950
ARF6	MGC45840
ARF6	MUSTN1
ARF6	MYST4
ARF6	NEK10
ARF6	PADI2
ARF6	PGM5
ARF6	TAL1
ARF6	TNFRSF19L
ATP10A	KRTAP19-5
ATP8A2	KIAA1328
ATP8A2	LGR6
ATP8A2	TMEM16G
ATP8A2	TRIM35
ATP8A2	ZNF586
ATPBD1B	TRIM51
BDH	DYRK3
BTNL9	LRTM2
BTNL9	PRPF38B
C6ORF111	POLA2
CALML5	OR2L3
CALML5	RPGR
CALML5	ZAN
CCDC32	WDR78
CCL18	CCR9
CCL18	CENTD2
CCL18	ECAT11
CCL18	FAT4
CCL18	GP2
CCL18	HLX1
CCL18	NEK10
CCL18	OR2T1
CCL18	PADI2
CCL18	SGCD
CCL18	TNFRSF19L
CCR9	CDC42BPA
CCR9	CYYR1
CCR9	ECAT11
CCR9	EPS8L1
CCR9	FAT4
CCR9	GIMAP6
CCR9	GP2
CCR9	GPNMB
CCR9	KIAA1328
CCR9	LOC653950
CCR9	MGC45840
CCR9	MUSTN1
CCR9	MYST4
CCR9	N6AMT1
CCR9	NEK10
CCR9	OR2T1
CCR9	PADI2
CCR9	PGM5
CCR9	SH3RF2
CCR9	TIGD3
CCR9	TNFRSF19L
CDC42BPA	CYYR1
CDC42BPA	GIMAP6
CDC42BPA	GPNMB
CDC42BPA	HRH1
CDC42BPA	LOC653950
CDC42BPA	PADI2
CDC42BPA	PPAP2B
CENTD2	FAT4
CENTD2	IL17E
CENTD2	OR2T1
CENTD2	PPAP2C
CENTD2	SETD6
CENTD2	TIGD3
CENTD2	WDR78
CENTD2	ZNF155
CLPX	ZNF155
CRABP1	ZNF155
CREB5	GPHA2
CREB5	PTGFR
CST2	P2RY6
CXCR7	PRPF38B
CYFIP1	LGR6
CYFIP1	TRIM35
CYP2W1	IL17E
CYYR1	ECAT11
CYYR1	EPS8L1
CYYR1	GIMAP6
CYYR1	GP2
CYYR1	GPNMB
CYYR1	KIAA1328
CYYR1	LOC650040
CYYR1	LOC653950
CYYR1	MGC45840
CYYR1	MUSTN1
CYYR1	MYST4
CYYR1	NEK10
CYYR1	PADI2
CYYR1	PGM5
CYYR1	TNFRSF19L
DDX19B	TNKS2
DPF3	LOC650040
DSCR6	NSD1
ECAT11	EPS8L1
ECAT11	FAT4
ECAT11	GIMAP6
ECAT11	GP2
ECAT11	GPNMB
ECAT11	KIAA1328
ECAT11	LOC653950
ECAT11	MGC45840
