2011,PIB per capita (R$),PIB (R$ milhões),
,,,
Rondônia,17.659,27.839,"0,7%"
Acre,11.783,8.794,"0,2%"
Amazonas,18.244,64.555,"1,6%"
Roraima,15.106,6.951,"0,2%"
Pará,11.494,88.371,"2,1%"
Amapá,13.105,8.968,"0,2%"
Tocantins,12.891,18.059,"0,4%"
,,,
Maranhão,7.853,52.187,"1,3%"
Piauí,7.836,24.607,"0,6%"
Ceará,10.314,87.982,"2,1%"
Rio Grande do Norte,11.287,36.103,"0,9%"
Paraíba,9.349,35.444,"0,9%"
Pernambuco,11.776,104.394,"2,5%"
Alagoas,9.079,28.54,"0,7%"
Sergipe,12.536,26.199,"0,6%"
Bahia,11.34,159.869,"3,9%"
,,,
Minas Gerais,19.573,386.156,"9,3%"
Espírito Santo,27.542,97.693,"2,4%"
Rio de Janeiro,28.696,462.376,"11,2%"
São Paulo,32.449,1.349.465,"32,6%"
,,,
Paraná,22.77,239.366,"5,8%"
Santa Catarina,26.761,169.05,"4,1%"
Rio Grande do Sul,24.563,263.633,"6,4%"
,,,
Mato Grosso do Sul,19.875,49.242,"1,2%"
Mato Grosso,23.218,71.418,"1,7%"
Goiás,18.299,111.269,"2,7%"
Distrito Federal,63.02,164.482,"4,0%"
