latitude,longitude,geo_type,place,country,country_code,lang,time,user,text,image_url,url
0.04283,-68.48036,Approximate (ID 9255305),"Sao Paulo, Brazil",Brazil,BR,pt,1537015661,Constelizar_on,Eu faço parte dessa revolução #elenao O feminismo é necessário #mulheresunidascontrabolsonaro  somos #mulherescontrabolsonaro,http://pbs.twimg.com/profile_images/1040945523136573440/dY3h30ie_normal.jpg,https://www.twitter.com/constelizar_on/status/1040945248959119366
-22.25623,-45.67459,Approximate (ID 6321773),"Santa Rita do Sapucaí, Brasil",Brazil,BR,pt,1537011941,facilserfeliz,"Karola deve votar no Bozo, mas a Deborah não!!! (Eu amo esta mulher!!) #EleNão #MulheresContraBolsonaro #MulheresUnidasContraBolsonaro https://t.co/vHW9oQKx70",http://pbs.twimg.com/profile_images/742259717913776129/oBqIEDf6_normal.jpg,https://www.twitter.com/facilserfeliz/status/1040929644575420418
0.04283,-68.48036,Approximate (ID 9255305),"Sao Paulo, Brazil",Brazil,BR,pt,1537011264,AmandaViana78,@CarlaPola Essa é para o grupo do Facebook que foi criado há 4 dias. Resposta que as mulheres de direita deu as esquerdalhas que fingiram ter um grupo com 2 milhão de mulheres contra Bolsonaro kkk #1MilhaoEm4Dias,http://pbs.twimg.com/profile_images/1038972900508921856/VQnckHX4_normal.jpg,https://www.twitter.com/amandaviana78/status/1040926807057489921
-21.76417,-43.35028,Approximate (ID 3459505),"Juiz de Fora, Brasil",Brazil,BR,pt,1537008896,jaguarspotter,"Alguém avisa que hacker o grupo ""Mulheres unidas contra Bolsonaro"" não fará nenhuma delas mudar de ideia. Eles só estão perdendo o lindo tempo deles nessa tentativa frustrada",http://pbs.twimg.com/profile_images/1040711123450966023/CUVOOEeC_normal.jpg,https://www.twitter.com/jaguarspotter/status/1040916873729265664
-29.97482,-51.18688,Approximate (ID 8604348),"Santo André, Brasil",Brazil,BR,pt,1537008266,fabrizioalbuja,"Só uma pergunta... Quando se juntam ""mulheres contra Bolsonaro"" estão falando só de mulheres de fato? Porque travesti já é errado jogar no vôlei feminino, imagina contar como voto feminino. #MulheresComBolsonaro17",http://pbs.twimg.com/profile_images/1020862256966447105/G6X55HdA_normal.jpg,https://www.twitter.com/fabrizioalbuja/status/1040914229493149696
-21.4327,-48.54735,Approximate (ID 6322615),"Taquaritinga, Brasil",Brazil,BR,pt,1537008052,giuliaastephano,"Virou modinha já: “mulheres contra Bolsonaro.” Pelo amor de Deus, a pessoa não sabe nem a diferença de “mais” e “mas” e acha que sabe de Bolsonaro.",http://pbs.twimg.com/profile_images/1014219424298143745/6ySOf6q-_normal.jpg,https://www.twitter.com/giuliaastephano/status/1040913334101594112
-31.78333,-52.33333,Approximate (ID 11525615),"Pelotas, Brasil",Brazil,BR,pt,1537001664,thiagoovargas,"De 10 fotos no meu Facebook 15 são ""mulheres contra o fascismo"" ""mulheres contra o Bolsonaro"" caralho eu amo vcs, vcs vão salvar o Brasil",http://pbs.twimg.com/profile_images/1036811904621207552/1mh8BHLT_normal.jpg,https://www.twitter.com/thiagoovargas/status/1040886540157820928
-21.32337,-42.80829,Approximate (ID 6321347),"Dona Eusébia, Brasil",Brazil,BR,pt,1536991922,thaisinha_r,"@mulherbolsonaro @jairbolsonaro @FlavioBolsonaro  Somos mais 1 milhão de mulheres, unidas em um propósito. #Bolsonaro17  #Nossopresidente #MulheresContraBolsonaro #EleSim #MelhorJairSeAcostumando 👏🏻👏🏻👏🏻😎😎😎👉🏻👉🏻👉🏻 https://t.co/rHOD4HAjVh",http://pbs.twimg.com/profile_images/952193393928568832/q63gVm2W_normal.jpg,https://www.twitter.com/thaisinha_r/status/1040845679868952577
-22.90243,-43.17236,Approximate (ID 11525646),"Rio de Janeiro, Brazil",Brazil,BR,pt,1536986621,didi_forelsket,@Chicao_Sorocaba @pahega @sandraselmader Vergonha! #EleNão #MulheresContraOFascismo #AlfabetizaçãoPolíticaUrgente #AprendaRápido,http://pbs.twimg.com/profile_images/1009760856471756800/9CrGI6u1_normal.jpg,https://www.twitter.com/didi_forelsket/status/1040823446631075842
-22.90243,-43.17236,Approximate (ID 11525646),"Rio de Janeiro, Brazil",Brazil,BR,pt,1536986305,didi_forelsket,@Feossani Vergonha! #EleNão #MulheresContraOFascismo  #AlfabetizaçãoPolíticaUrgente #AprendaRápido,http://pbs.twimg.com/profile_images/1009760856471756800/9CrGI6u1_normal.jpg,https://www.twitter.com/didi_forelsket/status/1040822118823481344
